context,response,text,label
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",ello,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]","Hey, can you help me?",greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",Hello? Anyone?,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",Hey bot,greeting
[''],"[""Have a nice day"", ""See you!"",""Bye! Pleasure to chat with you""]",Bye,goodbye
[''],"[""Have a nice day"", ""See you!"",""Bye! Pleasure to chat with you""]",bye,goodbye
[''],"[""Have a nice day"", ""See you!"",""Bye! Pleasure to chat with you""]",bye bot,goodbye
[''],"[""Have a nice day"", ""See you!"",""Bye! Pleasure to chat with you""]",Goodbye,goodbye
[''],"[""Have a nice day"", ""See you!"",""Bye! Pleasure to chat with you""]",goodbye,goodbye
[''],"[""Have a nice day"", ""See you!"",""Bye! Pleasure to chat with you""]",Later,goodbye
[''],"[""Have a nice day"", ""See you!"",""Bye! Pleasure to chat with you""]",Ciao,goodbye
[''],"[""Have a nice day"", ""See you!"",""Bye! Pleasure to chat with you""]",Good chat,goodbye
[''],"[""Have a nice day"", ""See you!"",""Bye! Pleasure to chat with you""]",Bye bye,goodbye
[''],"[""Have a nice day"", ""See you!"",""Bye! Pleasure to chat with you""]",good chat,goodbye
[''],"[""Have a nice day"", ""See you!"",""Bye! Pleasure to chat with you""]",peace out,goodbye
[''],"[""Have a nice day"", ""See you!"",""Bye! Pleasure to chat with you""]","alright, see you later",goodbye
[''],"[""It's been a pleasure."", ""Happy to be of assistance."", ""Glad I could help!"", ""No problem."", ""Any time.""]",Thanks so much!,thanks
[''],"[""It's been a pleasure."", ""Happy to be of assistance."", ""Glad I could help!"", ""No problem."", ""Any time.""]",Thanks for all the help,thanks
[''],"[""It's been a pleasure."", ""Happy to be of assistance."", ""Glad I could help!"", ""No problem."", ""Any time.""]",Thank you.,thanks
[''],"[""It's been a pleasure."", ""Happy to be of assistance."", ""Glad I could help!"", ""No problem."", ""Any time.""]",thanks,thanks
[''],"[""It's been a pleasure."", ""Happy to be of assistance."", ""Glad I could help!"", ""No problem."", ""Any time.""]",Cheers,thanks
[''],"[""It's been a pleasure."", ""Happy to be of assistance."", ""Glad I could help!"", ""No problem."", ""Any time.""]",Grateful for the help,thanks
[''],"[""It's been a pleasure."", ""Happy to be of assistance."", ""Glad I could help!"", ""No problem."", ""Any time.""]",I appreciate your help,thanks
[''],"[""It's been a pleasure."", ""Happy to be of assistance."", ""Glad I could help!"", ""No problem."", ""Any time.""]",Much appreciated,thanks
[''],"[""When do you want to check in? Please provide your dates in the field below""]",I want to book a room,BookingEnquiry
[''],"[""When do you want to check in? Please provide your dates in the field below""]",I'd like to book a room,BookingEnquiry
[''],"[""When do you want to check in? Please provide your dates in the field below""]",Book a room,BookingEnquiry
[''],"[""When do you want to check in? Please provide your dates in the field below""]",Can I book a room?,BookingEnquiry
[''],"[""When do you want to check in? Please provide your dates in the field below""]",Do you have any availability?,BookingEnquiry
[''],"[""When do you want to check in? Please provide your dates in the field below""]",What are the prices of your rooms?,BookingEnquiry
[''],"[""When do you want to check in? Please provide your dates in the field below""]",How much do your rooms cost?,BookingEnquiry
[''],"[""When do you want to check in? Please provide your dates in the field below""]",I want to make a booking,BookingEnquiry
[''],"[''Our hotel is located within the Finsbury area of London and can be accessed by tube and bus links.""]",Where are you?,location
[''],"[''Our hotel is located within the Finsbury area of London and can be accessed by tube and bus links.""]",How do I get to you?,location
[''],"[''Our hotel is located within the Finsbury area of London and can be accessed by tube and bus links.""]",What is your location?,location
[''],"[''Our hotel is located within the Finsbury area of London and can be accessed by tube and bus links.""]",Where are you located?,location
[''],"[''Our hotel is located within the Finsbury area of London and can be accessed by tube and bus links.""]",Where is your hotel?,location
[''],"[''Our hotel is located within the Finsbury area of London and can be accessed by tube and bus links.""]",Tell me how to get your hotel,location
[''],"[''Our hotel is located within the Finsbury area of London and can be accessed by tube and bus links.""]",Tell me how to get to you,location
[''],"[''Our hotel is located within the Finsbury area of London and can be accessed by tube and bus links.""]",Tell me where you are,location
[''],"[''Our hotel is located within the Finsbury area of London and can be accessed by tube and bus links.""]",Tell me your location,location
[''],"[''Our hotel is located within the Finsbury area of London and can be accessed by tube and bus links.""]",What is your hotel's location,location
[''],"[''Our hotel is located within the Finsbury area of London and can be accessed by tube and bus links.""]",Tell me your hotel's location,location
[''],"[''Our hotel is located within the Finsbury area of London and can be accessed by tube and bus links.""]",What are my travel options?,location
[''],"[""I am a hotel reservation chatbot. I can help you make a room booking or answer any questions you have about this hotel!""]",What is your purpose?,options
[''],"[""I am a hotel reservation chatbot. I can help you make a room booking or answer any questions you have about this hotel!""]",What can you do?,options
[''],"[""I am a hotel reservation chatbot. I can help you make a room booking or answer any questions you have about this hotel!""]",What do you do?,options
[''],"[""I am a hotel reservation chatbot. I can help you make a room booking or answer any questions you have about this hotel!""]",What is your function?,options
[''],"[""I am a hotel reservation chatbot. I can help you make a room booking or answer any questions you have about this hotel!""]",What's the point of you?,options
[''],"[""I am a hotel reservation chatbot. I can help you make a room booking or answer any questions you have about this hotel!""]",Tell me your purpose,options
[''],"[""I am a hotel reservation chatbot. I can help you make a room booking or answer any questions you have about this hotel!""]",Tell me your function,options
[''],"[""I am a hotel reservation chatbot. I can help you make a room booking or answer any questions you have about this hotel!""]",Tell me what you can do,options
[''],"[""I am a hotel reservation chatbot. I can help you make a room booking or answer any questions you have about this hotel!""]",Tell me what your purpose is,options
[''],"[""The Donvalley hotel was founded in 1865 by brothers Donald Argster and Valleium Argster. It specialized in catering to family groups at affordable prices as a means of nearby accomodation for the local carnivals and festivals in the city. \n\nThat same thinking has continued into the present day where the Donvalley hotel continues to serve its customers with the same vigor and integrity that has allowed it to survive and flourish for over 100 years in the hospitaility industry."" ]",Tell me more about this hotel,aboutUs
[''],"[""The Donvalley hotel was founded in 1865 by brothers Donald Argster and Valleium Argster. It specialized in catering to family groups at affordable prices as a means of nearby accomodation for the local carnivals and festivals in the city. \n\nThat same thinking has continued into the present day where the Donvalley hotel continues to serve its customers with the same vigor and integrity that has allowed it to survive and flourish for over 100 years in the hospitaility industry."" ",I want to learn more about this place,aboutUs
[''],"[""The Donvalley hotel was founded in 1865 by brothers Donald Argster and Valleium Argster. It specialized in catering to family groups at affordable prices as a means of nearby accomodation for the local carnivals and festivals in the city. \n\nThat same thinking has continued into the present day where the Donvalley hotel continues to serve its customers with the same vigor and integrity that has allowed it to survive and flourish for over 100 years in the hospitaility industry."" ]",About us,aboutUs
[''],"[""The Donvalley hotel was founded in 1865 by brothers Donald Argster and Valleium Argster. It specialized in catering to family groups at affordable prices as a means of nearby accomodation for the local carnivals and festivals in the city. \n\nThat same thinking has continued into the present day where the Donvalley hotel continues to serve its customers with the same vigor and integrity that has allowed it to survive and flourish for over 100 years in the hospitaility industry."" ]",I want to know more about this hotel,aboutUs
[''],"[""The Donvalley hotel was founded in 1865 by brothers Donald Argster and Valleium Argster. It specialized in catering to family groups at affordable prices as a means of nearby accomodation for the local carnivals and festivals in the city. \n\nThat same thinking has continued into the present day where the Donvalley hotel continues to serve its customers with the same vigor and integrity that has allowed it to survive and flourish for over 100 years in the hospitaility industry."" ]",Tell me about this hotel's history,aboutUs
[''],"[""The Donvalley hotel was founded in 1865 by brothers Donald Argster and Valleium Argster. It specialized in catering to family groups at affordable prices as a means of nearby accomodation for the local carnivals and festivals in the city. \n\nThat same thinking has continued into the present day where the Donvalley hotel continues to serve its customers with the same vigor and integrity that has allowed it to survive and flourish for over 100 years in the hospitaility industry."" ]",What history does this hotel have?,aboutUs
[''],"[""In the surrounding area, you will find a museum, a range of bars/restaurants and a variety of nightclubs. A greater list of nearby facilities can be found on our website.""]",What is nearby to the hotel?,attractions
[''],"[""In the surrounding area, you will find a museum, a range of bars/restaurants and a variety of nightclubs. A greater list of nearby facilities can be found on our website.""]",What attractions are nearby?,attractions
[''],"[""In the surrounding area, you will find a museum, a range of bars/restaurants and a variety of nightclubs. A greater list of nearby facilities can be found on our website.""]",Is there a shop nearby?,attractions
[''],"[""In the surrounding area, you will find a museum, a range of bars/restaurants and a variety of nightclubs. A greater list of nearby facilities can be found on our website.""]",Can I find a bank near the hotel?,attractions
[''],"[""In the surrounding area, you will find a museum, a range of bars/restaurants and a variety of nightclubs. A greater list of nearby facilities can be found on our website.""]",What restaurants are in the area?,attractions
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",I have an issue with my booking,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",I have a problem with my booking,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",I want to report a problem with my booking,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",My booking is wrong,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",I want to talk to a human,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",Can I speak to a person?,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",Is there someone on staff I can talk to?,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",Are there any people around I can speak to?,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",Get me a manager,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",I need someone to complain to,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",This bot isn't accurate,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",You don't understand what I'm saying,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",You're not listening to me,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",Listen to what I'm telling you,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",You're getting it all wrong,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",I want to report you,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",I want to make a complaint?,issue
[''],"[""If you have an issue with your booking, you can call us on 01426 11178 or email us at customerservice@donvalleyhotel.co.uk""]",How do I make a complaint?,issue
[''],[''],Rate this chat,rating
[''],[''],I want to give a rating,rating
[''],[''],I want to review this conversation,rating
[''],"[""I am sorry, I didn't understand you. Please retry your query with a little more detail.""]",ueafuigrwu,gibberish
[''],"[""I am sorry, I didn't understand you. Please retry your query with a little more detail.""]",choeiyrfgwgyg,gibberish
[''],"[""I am sorry, I didn't understand you. Please retry your query with a little more detail.""]",HUIGYh$%^&88,gibberish
[''],"[""I am sorry, I didn't understand you. Please retry your query with a little more detail.""]",hsoadhu3UG^*R8o89257,gibberish
[''],"[""I am sorry, I didn't understand you. Please retry your query with a little more detail.""]",opasWJDJIIDOjih,gibberish
[''],"[""I am sorry, I didn't understand you. Please retry your query with a little more detail.""]",)i97jhgui,gibberish
[''],"[""I am sorry, I didn't understand you. Please retry your query with a little more detail.""]",p09a?<@{]84jdgey,gibberish
[''],"[""Check-in time is after 3pm and check-out time is after 10am.""]",What time is check-in?,check-in-out-times
[''],"[""Check-in time is after 3pm and check-out time is after 10am.""]",What time is check-out?,check-in-out-times
[''],"[""Check-in time is after 3pm and check-out time is after 10am.""]",Check in times,check-in-out-times
[''],"[""Check-in time is after 3pm and check-out time is after 10am.""]",Check out times,check-in-out-times
[''],"[""Check-in time is after 3pm and check-out time is after 10am.""]",Check-in times,check-in-out-times
[''],"[""Check-in time is after 3pm and check-out time is after 10am.""]",Check-out times,check-in-out-times
[''],"[""Check-in time is after 3pm and check-out time is after 10am.""]",What time can I book in?,check-in-out-times
[''],"[""Check-in time is after 3pm and check-out time is after 10am.""]",What's the earliest I can book in?,check-in-out-times
[''],"[""Check-in time is after 3pm and check-out time is after 10am.""]",What time must I leave by?,check-in-out-times
[''],"[""Check-in time is after 3pm and check-out time is after 10am.""]",What time do I have to leave by?,check-in-out-times
[''],"[""Room service is provided to guests staying in triple rooms or above. A menu is provided in all such rooms with a list of our available meals for the day.""]",Room service,room-service
[''],"[""Room service is provided to guests staying in triple rooms or above. A menu is provided in all such rooms with a list of our available meals for the day.""]",Do you have room service?,room-service
[''],"[""Room service is provided to guests staying in triple rooms or above. A menu is provided in all such rooms with a list of our available meals for the day.""]",Is room service included?,room-service
[''],"[""Room service is provided to guests staying in triple rooms or above. A menu is provided in all such rooms with a list of our available meals for the day.""]",Does this hotel have room service?,room-service
[''],"[""We operate on a dynamic pricing model, adjusting our prices to suit the predicted demand for any given day.""]",Why does the pricing change daily,price-change
[''],"[""We operate on a dynamic pricing model, adjusting our prices to suit the predicted demand for any given day.""]",Why are the prices different from day to day?,price-change
[''],"[""In the event of a fire or other hazardous incident, an alarm will sound and you will be instructed to vacate your room. Follow the advice given over the speakers and walk to the carpark of the hotel in an orderly fashion.""]",What if there's a fire?,emergency
[''],"[""In the event of a fire or other hazardous incident, an alarm will sound and you will be instructed to vacate your room. Follow the advice given over the speakers and walk to the carpark of the hotel in an orderly fashion.""]",What should I do in the event of a fire?,emergency
[''],"[""In the event of a fire or other hazardous incident, an alarm will sound and you will be instructed to vacate your room. Follow the advice given over the speakers and walk to the carpark of the hotel in an orderly fashion.""]",What is the procedure if there's an emergency?,emergency
[''],"[""While we do our best to ensure our guests comfort, we accept that some guests may find their stay unsatisfactory. In which case, fill out the below form to request a refund.""]",Can I get a refund on my room,refund
[''],"[""While we do our best to ensure our guests comfort, we accept that some guests may find their stay unsatisfactory. In which case, fill out the below form to request a refund.""]",What if I want a refund?,refund
[''],"[""While we do our best to ensure our guests comfort, we accept that some guests may find their stay unsatisfactory. In which case, fill out the below form to request a refund.""]",I want a refund,refund
[''],"[""The maximum occupancy for each room is as follows -\n\nSingle: 2\nDouble: 3\nTwin: 3\nTriple: 4\nQuad: 5\n\nIf your party is bigger than these sizes, you will need to book additional rooms.""]",How many people to a room?,room-limits
[''],"[""The maximum occupancy for each room is as follows -\n\nSingle: 2\nDouble: 3\nTwin: 3\nTriple: 4\nQuad: 5\n\nIf your party is bigger than these sizes, you will need to book additional rooms.""]",Limitations of people in a room,room-limits
[''],"[""The maximum occupancy for each room is as follows -\n\nSingle: 2\nDouble: 3\nTwin: 3\nTriple: 4\nQuad: 5\n\nIf your party is bigger than these sizes, you will need to book additional rooms.""]",How many people can stay in a room?,room-limits
[''],"[""We only accept payments using Mastercard, Visa or Paypal.""]",What payment methods do you accept?,payment-methods
[''],"[""We only accept payments using Mastercard, Visa or Paypal.""]",Do you take cash?,payment-methods
[''],"[""We only accept payments using Mastercard, Visa or Paypal.""]",Can I pay with cash?,payment-methods
[''],"[""We only accept payments using Mastercard, Visa or Paypal.""]",Do you take bitcoin?,payment-methods
[''],"[""We only accept payments using Mastercard, Visa or Paypal.""]",Can I pay with bitcoin?,payment-methods
[''],"[""Upon booking a room, you will receive confirmation via your provided email and phone number.""]",Will I receive confirmation of my booking?,confirmation-of-booking
[''],"[""Upon booking a room, you will receive confirmation via your provided email and phone number.""]",Confirmation of booking,confirmation-of-booking
[''],"[""Upon booking a room, you will receive confirmation via your provided email and phone number.""]",When can I expect to get my booking confirmation?,confirmation-of-booking
[''],"[""Available amenities include HD TV, Kettle, Hairdryer, Radiator, Ironing Board and a free Shaving Kit in all rooms.""]",What amenities are included with your rooms?,amenities
[''],"[""Available amenities include HD TV, Kettle, Hairdryer, Radiator, Ironing Board and a free Shaving Kit in all rooms.""]",Are there any extras that come with the rooms?,amenities
[''],"[""Our hotel offers free onsite parking, upon booking in you will receive a tag you can place on your dashboard.\n\nHowever we operate on a first-come, first-served basis so parking spaces may be limited.""]",Do you have onsite parking?,parking
[''],"[""Our hotel offers free onsite parking, upon booking in you will receive a tag you can place on your dashboard.\n\nHowever we operate on a first-come, first-served basis so parking spaces may be limited.""]",Does the hotel come with parking?,parking
[''],"[""Our hotel offers free onsite parking, upon booking in you will receive a tag you can place on your dashboard.\n\nHowever we operate on a first-come, first-served basis so parking spaces may be limited.""]",What is the parking situation?,parking
[''],"[""Our hotel offers free onsite parking, upon booking in you will receive a tag you can place on your dashboard.\n\nHowever we operate on a first-come, first-served basis so parking spaces may be limited.""]",Parking,parking
[''],"[""Our hotel offers free onsite parking, upon booking in you will receive a tag you can place on your dashboard.\n\nHowever we operate on a first-come, first-served basis so parking spaces may be limited.""]",Do I have to pay for parking?,parking
[''],"[""The nearest shops are located within the same block as the hotel, with a newsagents, HSBC bank and Fish and Chip takeaway.""]",How close are the nearest shops?,shops
[''],"[""The nearest shops are located within the same block as the hotel, with a newsagents, HSBC bank and Fish and Chip takeaway.""]",What shops are nearby?,shops
[''],"[""The nearest shops are located within the same block as the hotel, with a newsagents, HSBC bank and Fish and Chip takeaway.""]",Shops,shops
[''],"[""The nearest shops are located within the same block as the hotel, with a newsagents, HSBC bank and Fish and Chip takeaway.""]",Are there any shops at the hotel?,shops
[''],"[""Guests can amend their booking up until the before they're due, but will lose their booking deposit if they do so.""]",Can I cancel/amend my booking?,cancel-amend-booking
[''],"[""Guests can amend their booking up until the before they're due, but will lose their booking deposit if they do so.""]",Can I edit my booking?,cancel-amend-booking
[''],"[""Guests can amend their booking up until the before they're due, but will lose their booking deposit if they do so.""]",I want to make a change to my booking,cancel-amend-booking
[''],"[""Children are welcome at our hotel, as long as at least one member of the party is 18+.""]",Are children allowed at the hotel?,children
[''],"[""Children are welcome at our hotel, as long as at least one member of the party is 18+.""]",Can bookings be made with children?,children
[''],"[""Children are welcome at our hotel, as long as at least one member of the party is 18+.""]",Can I book a family room?,children
[''],"[""Pets are not allowed at the hotel"", ""Unfortunately we do not allow animals at our hotel]",Do you allow pets?,pets
[''],"[""Pets are not allowed at the hotel"", ""Unfortunately we do not allow animals at our hotel]",Can I make a booking with my pet?,pets
[''],"[""Pets are not allowed at the hotel"", ""Unfortunately we do not allow animals at our hotel]","I have a guide dog, are they allowed?",pets
[''],"[""Pets are not allowed at the hotel"", ""Unfortunately we do not allow animals at our hotel]",I want to bring my cat with me,pets
[''],"[""Ramps and minature elevators are provided to allow for ease of access for wheelchair users.""]",Is this hotel wheelchair accessible?,wheelchair
[''],"[""All rooms come with en-suite bathrooms available.""]",Do any rooms provide en-suite bathrooms?,ensuite
[''],"[""All rooms come with en-suite bathrooms available.""]",What rooms have ensuite bathrooms?,ensuite
[''],"[""A single room is a room with a single bed.\n\nA double room is a room with a double bed.\n\nA twin room is a room with two single beds.\n\nA triple room is a room with three single beds.\n\nA quad room is a room with two king size beds.""]",What is a single room?,room-descriptions
[''],"[""A single room is a room with a single bed.\n\nA double room is a room with a double bed.\n\nA twin room is a room with two single beds.\n\nA triple room is a room with three single beds.\n\nA quad room is a room with two king size beds.""]",single room,room-descriptions
[''],"[""A single room is a room with a single bed.\n\nA double room is a room with a double bed.\n\nA twin room is a room with two single beds.\n\nA triple room is a room with three single beds.\n\nA quad room is a room with two king size beds.""]",double room,room-descriptions
[''],"[""A single room is a room with a single bed.\n\nA double room is a room with a double bed.\n\nA twin room is a room with two single beds.\n\nA triple room is a room with three single beds.\n\nA quad room is a room with two king size beds.""]",twin room,room-descriptions
[''],"[""A single room is a room with a single bed.\n\nA double room is a room with a double bed.\n\nA twin room is a room with two single beds.\n\nA triple room is a room with three single beds.\n\nA quad room is a room with two king size beds.""]",triple room,room-descriptions
[''],"[""A single room is a room with a single bed.\n\nA double room is a room with a double bed.\n\nA twin room is a room with two single beds.\n\nA triple room is a room with three single beds.\n\nA quad room is a room with two king size beds.""]",quad room,room-descriptions
[''],"[""A single room is a room with a single bed.\n\nA double room is a room with a double bed.\n\nA twin room is a room with two single beds.\n\nA triple room is a room with three single beds.\n\nA quad room is a room with two king size beds.""]",Can I get a description of your rooms?,room-descriptions
[''],"[""We have our own bar located on the first floor, open from 6pm-11pm. We also have a restaurant positioned next-door open from 3pm-10pm.""]",Does the hotel have its own bar of restaurant?,bar
[''],"[""Each room has a telephone installed that you can use to contact the hotel desk directly from 9am-6pm""]",How can I contact the reception desk if I need anything?,telephone
[''],"[""Our hotel has a holding area that guests can use for their luggage before checking in, behind the reception desk.""]",Can I leave my luggage with the hotel before check-in time?,luggage-storage
[''],"[""Our hotel has a holding area that guests can use for their luggage before checking in, behind the reception desk.""]",Can I leave my luggage at the hotel before check-in time?,luggage-storage
[''],"[""Guests can make a booking on behalf of another person, but the billpayer must be included in the guest list.""]",Can I make a booking on behalf of another person?,booking-for-another
[''],"[""No worries, friend. If you're having trouble working out how to use me, type (Book a room) or select it in the menu to begin the reservation process. Then just follow the steps as they're shown.\n\nIf you have any other questions or queries, I will do my best to answer them! Otherwise, you can contact the reservation desk at 01426 11178.""]",help,help
[''],"[""No worries, friend. If you're having trouble working out how to use me, type (Book a room) or select it in the menu to begin the reservation process. Then just follow the steps as they're shown.\n\nIf you have any other questions or queries, I will do my best to answer them! Otherwise, you can contact the reservation desk at 01426 11178.""]",I need help,gelp
[''],"[""No worries, friend. If you're having trouble working out how to use me, type (Book a room) or select it in the menu to begin the reservation process. Then just follow the steps as they're shown.\n\nIf you have any other questions or queries, I will do my best to answer them! Otherwise, you can contact the reservation desk at 01426 11178.""]",I don't understand this process,help
[''],"[""No worries, friend. If you're having trouble working out how to use me, type (Book a room) or select it in the menu to begin the reservation process. Then just follow the steps as they're shown.\n\nIf you have any other questions or queries, I will do my best to answer them! Otherwise, you can contact the reservation desk at 01426 11178.""]",What do I do?,help
[''],"[""No worries, friend. If you're having trouble working out how to use me, type (Book a room) or select it in the menu to begin the reservation process. Then just follow the steps as they're shown.\n\nIf you have any other questions or queries, I will do my best to answer them! Otherwise, you can contact the reservation desk at 01426 11178.""]",How do I use this chatbot?,help
[''],"[""No worries, friend. If you're having trouble working out how to use me, type (Book a room) or select it in the menu to begin the reservation process. Then just follow the steps as they're shown.\n\nIf you have any other questions or queries, I will do my best to answer them! Otherwise, you can contact the reservation desk at 01426 11178.""]",What do I type in?,help
[''],,,
[''],,,
[''],,,
[''],,,
[''],,,
[''],,,
[''],,,
[''],,,
[''],,,
[''],,,
[''],,,
[''],,,
[''],,,
[''],,,
[''],,,
[''],,,
