reservation_status,reserved_date,number_of_nights,room_type,maximum_occupancy,price_per_night,reference
Reserved,01/09/22,13,Double,3,53,890-ILJIWW-416
Reserved,09/05/22,8,Triple,5,79,332-HEKDYN-758
Reserved,21/07/22,7,Twin,4,59,931-JLPVBH-207
Reserved,28/11/22,7,Double,3,53,579-NQLEEZ-014
Available, , ,Triple,5,79,
Reserved,08/08/22,8,Triple,5,79,682-EAEFWG-748
Available, , ,Single,2,31,
Available, , ,Single,2,31,
Available, , ,Single,2,31,
Reserved,15/06/22,9,Single,2,31,803-UKXISY-798
Reserved,18/08/22,12,Single,2,31,723-ENDIUO-859
Reserved,06/05/22,4,Quad,6,85,211-HINIRK-321
Available, , ,Double,3,53,
Available, , ,Single,2,31,
